order_id,customer_id,order_date,channel,revenue,quantity,region
O00181,C0181,2025-06-16,Organic Search,83.25,1,West
O00182,C0198,2025-06-16,Organic Search,269.18,3,Northeast
O00183,C0215,2025-06-16,Organic Search,192.40,2,South
O00184,C0245,2025-06-16,Paid Search,97.20,1,West
O00185,C0262,2025-06-16,Paid Search,314.28,3,Northeast
O00186,C0279,2025-06-16,Paid Search,224.64,2,South
O00187,C0309,2025-06-16,Direct,75.60,1,West
O00188,C0006,2025-06-16,Direct,244.44,3,Northeast
O00189,C0036,2025-06-16,Referral,308.88,3,Midwest
O00190,C0066,2025-06-16,Email,104.40,1,Northeast
O00191,C0096,2025-06-16,Organic Social,147.44,2,Midwest
O00192,C0113,2025-06-16,Organic Social,79.04,1,West
O00193,C0065,2025-06-17,Organic Search,83.25,1,West
O00194,C0082,2025-06-17,Organic Search,269.18,3,Northeast
O00195,C0099,2025-06-17,Organic Search,192.40,2,South
O00196,C0129,2025-06-17,Paid Search,97.20,1,West
O00197,C0146,2025-06-17,Paid Search,314.28,3,Northeast
O00198,C0163,2025-06-17,Paid Search,224.64,2,South
O00199,C0193,2025-06-17,Direct,75.60,1,West
O00200,C0210,2025-06-17,Direct,244.44,3,Northeast
O00201,C0240,2025-06-17,Referral,308.88,3,Midwest
O00202,C0270,2025-06-17,Email,104.40,1,Northeast
O00203,C0300,2025-06-17,Organic Social,147.44,2,Midwest
O00204,C0317,2025-06-17,Organic Social,79.04,1,West
O00205,C0269,2025-06-18,Organic Search,83.25,1,West
O00206,C0286,2025-06-18,Organic Search,269.18,3,Northeast
O00207,C0303,2025-06-18,Organic Search,192.40,2,South
O00208,C0013,2025-06-18,Paid Search,97.20,1,West
O00209,C0030,2025-06-18,Paid Search,314.28,3,Northeast
O00210,C0047,2025-06-18,Paid Search,224.64,2,South
O00211,C0077,2025-06-18,Direct,75.60,1,West
O00212,C0094,2025-06-18,Direct,244.44,3,Northeast
O00213,C0124,2025-06-18,Referral,308.88,3,Midwest
O00214,C0154,2025-06-18,Email,104.40,1,Northeast
O00215,C0184,2025-06-18,Organic Social,147.44,2,Midwest
O00216,C0201,2025-06-18,Organic Social,79.04,1,West
O00217,C0153,2025-06-19,Organic Search,83.25,1,West
O00218,C0170,2025-06-19,Organic Search,269.18,3,Northeast
O00219,C0187,2025-06-19,Organic Search,192.40,2,South
O00220,C0217,2025-06-19,Paid Search,97.20,1,West
O00221,C0234,2025-06-19,Paid Search,314.28,3,Northeast
O00222,C0251,2025-06-19,Paid Search,224.64,2,South
O00223,C0281,2025-06-19,Direct,75.60,1,West
O00224,C0298,2025-06-19,Direct,244.44,3,Northeast
O00225,C0008,2025-06-19,Referral,308.88,3,Midwest
O00226,C0038,2025-06-19,Email,104.40,1,Northeast
O00227,C0068,2025-06-19,Organic Social,147.44,2,Midwest
O00228,C0085,2025-06-19,Organic Social,79.04,1,West
O00229,C0037,2025-06-20,Organic Search,83.25,1,West
O00230,C0054,2025-06-20,Organic Search,269.18,3,Northeast
O00231,C0071,2025-06-20,Organic Search,192.40,2,South
O00232,C0101,2025-06-20,Paid Search,97.20,1,West
O00233,C0118,2025-06-20,Paid Search,314.28,3,Northeast
O00234,C0135,2025-06-20,Paid Search,224.64,2,South
O00235,C0165,2025-06-20,Direct,75.60,1,West
O00236,C0182,2025-06-20,Direct,244.44,3,Northeast
O00237,C0212,2025-06-20,Referral,308.88,3,Midwest
O00238,C0242,2025-06-20,Email,104.40,1,Northeast
O00239,C0272,2025-06-20,Organic Social,147.44,2,Midwest
O00240,C0289,2025-06-20,Organic Social,79.04,1,West
O00241,C0241,2025-06-21,Organic Search,83.25,1,West
O00242,C0258,2025-06-21,Organic Search,269.18,3,Northeast
O00243,C0275,2025-06-21,Organic Search,192.40,2,South
O00244,C0305,2025-06-21,Paid Search,97.20,1,West
O00245,C0002,2025-06-21,Paid Search,314.28,3,Northeast
O00246,C0019,2025-06-21,Paid Search,224.64,2,South
O00247,C0049,2025-06-21,Direct,75.60,1,West
O00248,C0066,2025-06-21,Direct,244.44,3,Northeast
O00249,C0096,2025-06-21,Referral,308.88,3,Midwest
O00250,C0126,2025-06-21,Email,104.40,1,Northeast
O00251,C0156,2025-06-21,Organic Social,147.44,2,Midwest
O00252,C0173,2025-06-21,Organic Social,79.04,1,West
O00253,C0125,2025-06-22,Organic Search,83.25,1,West
O00254,C0142,2025-06-22,Organic Search,269.18,3,Northeast
O00255,C0159,2025-06-22,Organic Search,192.40,2,South
O00256,C0189,2025-06-22,Paid Search,97.20,1,West
O00257,C0206,2025-06-22,Paid Search,314.28,3,Northeast
O00258,C0223,2025-06-22,Paid Search,224.64,2,South
O00259,C0253,2025-06-22,Direct,75.60,1,West
O00260,C0270,2025-06-22,Direct,244.44,3,Northeast
O00261,C0300,2025-06-22,Referral,308.88,3,Midwest
O00262,C0010,2025-06-22,Email,104.40,1,Northeast
O00263,C0040,2025-06-22,Organic Social,147.44,2,Midwest
O00264,C0057,2025-06-22,Organic Social,79.04,1,West
O00265,C0009,2025-06-23,Organic Search,83.25,1,West
O00266,C0026,2025-06-23,Organic Search,269.18,3,Northeast
O00267,C0043,2025-06-23,Organic Search,192.40,2,South
O00268,C0073,2025-06-23,Paid Search,97.20,1,West
O00269,C0090,2025-06-23,Paid Search,314.28,3,Northeast
O00270,C0107,2025-06-23,Paid Search,224.64,2,South
O00271,C0137,2025-06-23,Direct,75.60,1,West
O00272,C0154,2025-06-23,Direct,244.44,3,Northeast
O00273,C0184,2025-06-23,Referral,308.88,3,Midwest
O00274,C0214,2025-06-23,Email,104.40,1,Northeast
O00275,C0244,2025-06-23,Organic Social,147.44,2,Midwest
O00276,C0261,2025-06-23,Organic Social,79.04,1,West
O00277,C0213,2025-06-24,Organic Search,83.25,1,West
O00278,C0230,2025-06-24,Organic Search,269.18,3,Northeast
O00279,C0247,2025-06-24,Organic Search,192.40,2,South
O00280,C0277,2025-06-24,Paid Search,97.20,1,West
O00281,C0294,2025-06-24,Paid Search,314.28,3,Northeast
O00282,C0311,2025-06-24,Paid Search,224.64,2,South
O00283,C0021,2025-06-24,Direct,75.60,1,West
O00284,C0038,2025-06-24,Direct,244.44,3,Northeast
O00285,C0068,2025-06-24,Referral,308.88,3,Midwest
O00286,C0098,2025-06-24,Email,104.40,1,Northeast
O00287,C0128,2025-06-24,Organic Social,147.44,2,Midwest
O00288,C0145,2025-06-24,Organic Social,79.04,1,West
O00289,C0097,2025-06-25,Organic Search,83.25,1,West
O00290,C0114,2025-06-25,Organic Search,269.18,3,Northeast
O00291,C0131,2025-06-25,Organic Search,192.40,2,South
O00292,C0161,2025-06-25,Paid Search,97.20,1,West
O00293,C0178,2025-06-25,Paid Search,314.28,3,Northeast
O00294,C0195,2025-06-25,Paid Search,224.64,2,South
O00295,C0225,2025-06-25,Direct,75.60,1,West
O00296,C0242,2025-06-25,Direct,244.44,3,Northeast
O00297,C0272,2025-06-25,Referral,308.88,3,Midwest
O00298,C0302,2025-06-25,Email,104.40,1,Northeast
O00299,C0012,2025-06-25,Organic Social,147.44,2,Midwest
O00300,C0029,2025-06-25,Organic Social,79.04,1,West
O00301,C0301,2025-06-26,Organic Search,83.25,1,West
O00302,C0318,2025-06-26,Organic Search,269.18,3,Northeast
O00303,C0015,2025-06-26,Organic Search,192.40,2,South
O00304,C0045,2025-06-26,Paid Search,97.20,1,West
O00305,C0062,2025-06-26,Paid Search,314.28,3,Northeast
O00306,C0079,2025-06-26,Paid Search,224.64,2,South
O00307,C0109,2025-06-26,Direct,75.60,1,West
O00308,C0126,2025-06-26,Direct,244.44,3,Northeast
O00309,C0156,2025-06-26,Referral,308.88,3,Midwest
O00310,C0186,2025-06-26,Email,104.40,1,Northeast
O00311,C0216,2025-06-26,Organic Social,147.44,2,Midwest
O00312,C0233,2025-06-26,Organic Social,79.04,1,West
O00313,C0185,2025-06-27,Organic Search,83.25,1,West
O00314,C0202,2025-06-27,Organic Search,269.18,3,Northeast
O00315,C0219,2025-06-27,Organic Search,192.40,2,South
O00316,C0249,2025-06-27,Paid Search,97.20,1,West
O00317,C0266,2025-06-27,Paid Search,314.28,3,Northeast
O00318,C0283,2025-06-27,Paid Search,224.64,2,South
O00319,C0313,2025-06-27,Direct,75.60,1,West
O00320,C0010,2025-06-27,Direct,244.44,3,Northeast
O00321,C0040,2025-06-27,Referral,308.88,3,Midwest
O00322,C0070,2025-06-27,Email,104.40,1,Northeast
O00323,C0100,2025-06-27,Organic Social,147.44,2,Midwest
O00324,C0117,2025-06-27,Organic Social,79.04,1,West
O00325,C0069,2025-06-28,Organic Search,83.25,1,West
O00326,C0086,2025-06-28,Organic Search,269.18,3,Northeast
O00327,C0103,2025-06-28,Organic Search,192.40,2,South
O00328,C0133,2025-06-28,Paid Search,97.20,1,West
O00329,C0150,2025-06-28,Paid Search,314.28,3,Northeast
O00330,C0167,2025-06-28,Paid Search,224.64,2,South
O00331,C0197,2025-06-28,Direct,75.60,1,West
O00332,C0214,2025-06-28,Direct,244.44,3,Northeast
O00333,C0244,2025-06-28,Referral,308.88,3,Midwest
O00334,C0274,2025-06-28,Email,104.40,1,Northeast
O00335,C0304,2025-06-28,Organic Social,147.44,2,Midwest
O00336,C0001,2025-06-28,Organic Social,79.04,1,West
O00337,C0273,2025-06-29,Organic Search,83.25,1,West
O00338,C0290,2025-06-29,Organic Search,269.18,3,Northeast
O00339,C0307,2025-06-29,Organic Search,192.40,2,South
O00340,C0017,2025-06-29,Paid Search,97.20,1,West
O00341,C0034,2025-06-29,Paid Search,314.28,3,Northeast
O00342,C0051,2025-06-29,Paid Search,224.64,2,South
O00343,C0081,2025-06-29,Direct,75.60,1,West
O00344,C0098,2025-06-29,Direct,244.44,3,Northeast
O00345,C0128,2025-06-29,Referral,308.88,3,Midwest
O00346,C0158,2025-06-29,Email,104.40,1,Northeast
O00347,C0188,2025-06-29,Organic Social,147.44,2,Midwest
O00348,C0205,2025-06-29,Organic Social,79.04,1,West
O00349,C0157,2025-06-30,Organic Search,83.25,1,West
O00350,C0174,2025-06-30,Organic Search,269.18,3,Northeast
O00351,C0191,2025-06-30,Organic Search,192.40,2,South
O00352,C0221,2025-06-30,Paid Search,97.20,1,West
O00353,C0238,2025-06-30,Paid Search,314.28,3,Northeast
O00354,C0255,2025-06-30,Paid Search,224.64,2,South
O00355,C0285,2025-06-30,Direct,75.60,1,West
O00356,C0302,2025-06-30,Direct,244.44,3,Northeast
O00357,C0012,2025-06-30,Referral,308.88,3,Midwest
O00358,C0042,2025-06-30,Email,104.40,1,Northeast
O00359,C0072,2025-06-30,Organic Social,147.44,2,Midwest
O00360,C0089,2025-06-30,Organic Social,79.04,1,West
O00361,C0041,2025-07-01,Organic Search,83.25,1,West
O00362,C0058,2025-07-01,Organic Search,269.18,3,Northeast
O00363,C0075,2025-07-01,Organic Search,192.40,2,South
O00364,C0105,2025-07-01,Paid Search,97.20,1,West
O00365,C0122,2025-07-01,Paid Search,314.28,3,Northeast
O00366,C0139,2025-07-01,Paid Search,224.64,2,South
O00367,C0169,2025-07-01,Direct,75.60,1,West
O00368,C0186,2025-07-01,Direct,244.44,3,Northeast
O00369,C0216,2025-07-01,Referral,308.88,3,Midwest
O00370,C0246,2025-07-01,Email,104.40,1,Northeast
O00371,C0276,2025-07-01,Organic Social,147.44,2,Midwest
O00372,C0293,2025-07-01,Organic Social,79.04,1,West
O00373,C0245,2025-07-02,Organic Search,83.25,1,West
O00374,C0262,2025-07-02,Organic Search,269.18,3,Northeast
O00375,C0279,2025-07-02,Organic Search,192.40,2,South
O00376,C0309,2025-07-02,Paid Search,97.20,1,West
O00377,C0006,2025-07-02,Paid Search,314.28,3,Northeast
O00378,C0023,2025-07-02,Paid Search,224.64,2,South
O00379,C0053,2025-07-02,Direct,75.60,1,West
O00380,C0070,2025-07-02,Direct,244.44,3,Northeast
O00381,C0100,2025-07-02,Referral,308.88,3,Midwest
O00382,C0130,2025-07-02,Email,104.40,1,Northeast
O00383,C0160,2025-07-02,Organic Social,147.44,2,Midwest
O00384,C0177,2025-07-02,Organic Social,79.04,1,West
O00385,C0129,2025-07-03,Organic Search,83.25,1,West
O00386,C0146,2025-07-03,Organic Search,269.18,3,Northeast
O00387,C0163,2025-07-03,Organic Search,192.40,2,South
O00388,C0193,2025-07-03,Paid Search,97.20,1,West
O00389,C0210,2025-07-03,Paid Search,314.28,3,Northeast
O00390,C0227,2025-07-03,Paid Search,224.64,2,South
O00391,C0257,2025-07-03,Direct,75.60,1,West
O00392,C0274,2025-07-03,Direct,244.44,3,Northeast
O00393,C0304,2025-07-03,Referral,308.88,3,Midwest
O00394,C0014,2025-07-03,Email,104.40,1,Northeast
O00395,C0044,2025-07-03,Organic Social,147.44,2,Midwest
O00396,C0061,2025-07-03,Organic Social,79.04,1,West
O00397,C0013,2025-07-04,Organic Search,83.25,1,West
O00398,C0030,2025-07-04,Organic Search,269.18,3,Northeast
O00399,C0047,2025-07-04,Organic Search,192.40,2,South
O00400,C0077,2025-07-04,Paid Search,97.20,1,West
O00401,C0094,2025-07-04,Paid Search,314.28,3,Northeast
O00402,C0111,2025-07-04,Paid Search,224.64,2,South
O00403,C0141,2025-07-04,Direct,75.60,1,West
O00404,C0158,2025-07-04,Direct,244.44,3,Northeast
O00405,C0188,2025-07-04,Referral,308.88,3,Midwest
O00406,C0218,2025-07-04,Email,104.40,1,Northeast
O00407,C0248,2025-07-04,Organic Social,147.44,2,Midwest
O00408,C0265,2025-07-04,Organic Social,79.04,1,West
O00409,C0217,2025-07-05,Organic Search,83.25,1,West
O00410,C0234,2025-07-05,Organic Search,269.18,3,Northeast
O00411,C0251,2025-07-05,Organic Search,192.40,2,South
O00412,C0281,2025-07-05,Paid Search,97.20,1,West
O00413,C0298,2025-07-05,Paid Search,314.28,3,Northeast
O00414,C0315,2025-07-05,Paid Search,224.64,2,South
O00415,C0025,2025-07-05,Direct,75.60,1,West
O00416,C0042,2025-07-05,Direct,244.44,3,Northeast
O00417,C0072,2025-07-05,Referral,308.88,3,Midwest
O00418,C0102,2025-07-05,Email,104.40,1,Northeast
O00419,C0132,2025-07-05,Organic Social,147.44,2,Midwest
O00420,C0149,2025-07-05,Organic Social,79.04,1,West
O00421,C0101,2025-07-06,Organic Search,83.25,1,West
O00422,C0118,2025-07-06,Organic Search,269.18,3,Northeast
O00423,C0135,2025-07-06,Organic Search,192.40,2,South
O00424,C0165,2025-07-06,Paid Search,97.20,1,West
O00425,C0182,2025-07-06,Paid Search,314.28,3,Northeast
O00426,C0199,2025-07-06,Paid Search,224.64,2,South
O00427,C0229,2025-07-06,Direct,75.60,1,West
O00428,C0246,2025-07-06,Direct,244.44,3,Northeast
O00429,C0276,2025-07-06,Referral,308.88,3,Midwest
O00430,C0306,2025-07-06,Email,104.40,1,Northeast
O00431,C0016,2025-07-06,Organic Social,147.44,2,Midwest
O00432,C0033,2025-07-06,Organic Social,79.04,1,West
O00433,C0305,2025-07-07,Organic Search,83.25,1,West
O00434,C0002,2025-07-07,Organic Search,269.18,3,Northeast
O00435,C0019,2025-07-07,Organic Search,192.40,2,South
O00436,C0049,2025-07-07,Paid Search,97.20,1,West
O00437,C0066,2025-07-07,Paid Search,314.28,3,Northeast
O00438,C0083,2025-07-07,Paid Search,224.64,2,South
O00439,C0113,2025-07-07,Direct,75.60,1,West
O00440,C0130,2025-07-07,Direct,244.44,3,Northeast
O00441,C0160,2025-07-07,Referral,308.88,3,Midwest
O00442,C0190,2025-07-07,Email,104.40,1,Northeast
O00443,C0220,2025-07-07,Organic Social,147.44,2,Midwest
O00444,C0237,2025-07-07,Organic Social,79.04,1,West
O00445,C0189,2025-07-08,Organic Search,83.25,1,West
O00446,C0206,2025-07-08,Organic Search,269.18,3,Northeast
O00447,C0223,2025-07-08,Organic Search,192.40,2,South
O00448,C0253,2025-07-08,Paid Search,97.20,1,West
O00449,C0270,2025-07-08,Paid Search,314.28,3,Northeast
O00450,C0287,2025-07-08,Paid Search,224.64,2,South
O00451,C0317,2025-07-08,Direct,75.60,1,West
O00452,C0014,2025-07-08,Direct,244.44,3,Northeast
O00453,C0044,2025-07-08,Referral,308.88,3,Midwest
O00454,C0074,2025-07-08,Email,104.40,1,Northeast
O00455,C0104,2025-07-08,Organic Social,147.44,2,Midwest
O00456,C0121,2025-07-08,Organic Social,79.04,1,West
O00457,C0073,2025-07-09,Organic Search,83.25,1,West
O00458,C0090,2025-07-09,Organic Search,269.18,3,Northeast
O00459,C0107,2025-07-09,Organic Search,192.40,2,South
O00460,C0137,2025-07-09,Paid Search,97.20,1,West
O00461,C0154,2025-07-09,Paid Search,314.28,3,Northeast
O00462,C0171,2025-07-09,Paid Search,224.64,2,South
O00463,C0201,2025-07-09,Direct,75.60,1,West
O00464,C0218,2025-07-09,Direct,244.44,3,Northeast
O00465,C0248,2025-07-09,Referral,308.88,3,Midwest
O00466,C0278,2025-07-09,Email,104.40,1,Northeast
O00467,C0308,2025-07-09,Organic Social,147.44,2,Midwest
O00468,C0005,2025-07-09,Organic Social,79.04,1,West
